,ANO,CONCELHO,NCCO
223,2013,Redondo,7
224,2013,Reguengos de Monsaraz,23
225,2013,Resende,88
226,2013,Ribeira De Pena,34
227,2013,Ribeira de Pena,44
228,2013,Rio Maior,40
229,2013,Sabrosa,20
230,2013,Sabugal,44
231,2013,Salvaterra de Magos,30
232,2013,Santa Comba Dão,22
233,2013,Santa Maria Da Feira,3
234,2013,Santa Maria da Feira,236
235,2013,Santa Marta De Penaguião,7
236,2013,Santa Marta de Penaguião,24
237,2013,Santarém,136
238,2013,Santiago do Cacém,40
239,2013,Santo Tirso,443
240,2013,Sardoal,9
241,2013,Seia,60
242,2013,Seixal,109
243,2013,Sernancelhe,60
244,2013,Serpa,27
245,2013,Sertã,51
246,2013,Sesimbra,46
247,2013,Setúbal,88
248,2013,Sever Do Vouga,1
249,2013,Sever do Vouga,117
250,2013,Silves,78
251,2013,Sines,26
252,2013,Sintra,279
253,2013,Sobral De Monte Agraço,28
254,2013,Sobral de Monte Agraço,13
255,2013,Soure,32
256,2013,Sousel,4
257,2013,Sátão,38
258,2013,São Brás de Alportel,11
259,2013,São João Da Pesqueira,1
260,2013,São João da Madeira,5
261,2013,São João da Pesqueira,31
262,2013,São Pedro Do Sul,3
263,2013,São Pedro do Sul,35
264,2013,TROFA,40
265,2013,Tabuaço,23
266,2013,Tarouca,24
267,2013,Tavira,42
268,2013,Terras De Bouro,35
269,2013,Terras de Bouro,32
270,2013,Tomar,104
271,2013,Tondela,166
272,2013,Torre De Moncorvo,5
273,2013,Torre de Moncorvo,37
274,2013,Torres Novas,65
275,2013,Torres Vedras,200
276,2013,Trancoso,61
277,2013,Trofa,52
278,2013,Tábua,46
279,2013,VIZELA,2
280,2013,Vagos,39
281,2013,Vale De Cambra,2
282,2013,Vale de Cambra,188
283,2013,Valença,195
284,2013,Valongo,181
285,2013,Valpaços,127
286,2013,Vendas Novas,8
287,2013,Viana Do Castelo,42
288,2013,Viana do Alentejo,9
289,2013,Viana do Castelo,197
290,2013,Vidigueira,31
291,2013,Vieira Do Minho,4
292,2013,Vieira do Minho,117
293,2013,Vila Do Conde,1
294,2013,Vila FLor,28
295,2013,Vila Franca de Xira,81
296,2013,Vila Nova De Cerveira,1
297,2013,Vila Nova De Famalicão,25
298,2013,Vila Nova De Foz Côa,52
299,2013,Vila Nova De Gaia,55
300,2013,Vila Nova da Barquinha,18
301,2013,Vila Nova de Cerveira,74
302,2013,Vila Nova de Famalicão,210
303,2013,Vila Nova de Gaia,422
304,2013,Vila Nova de Paiva,94
305,2013,Vila Nova de Poiares,28
306,2013,Vila Pouca de Aguiar,121
307,2013,Vila Real,155
308,2013,Vila Real de Santo António,8
309,2013,Vila Velha De Ródão,6
310,2013,Vila Velha de Ródão,14
311,2013,Vila Verde,247
312,2013,Vila Viçosa,5
313,2013,Vila de Rei,6
314,2013,Vila do Bispo,13
315,2013,Vila do Conde,209
316,2013,Vimioso,19
317,2013,Vinhais,56
318,2013,Viseu,267
319,2013,Vizela,35
320,2013,Vouzela,65
321,2013,Águeda,224
322,2013,Évora,56
323,2013,Ílhavo,33
324,2013,Óbidos,38
325,2014,Abrantes,34
326,2014,Aguiar da Beira,11
327,2014,Alandroal,14
328,2014,Albergaria-a-Velha,45
329,2014,Albergaria-a-velha,5
330,2014,Albufeira,34
331,2014,Alcanena,26
332,2014,Alcobaça,39
333,2014,Alcochete,16
334,2014,Alcoutim,11
335,2014,Alcácer Do Sal,12
336,2014,Alcácer do Sal,8
337,2014,Alenquer,77
338,2014,Alfândega Da Fé,8
339,2014,Alfândega da Fé,12
340,2014,Alijó,30
341,2014,Aljezur,6
342,2014,Aljustrel,18
343,2014,Almada,107
344,2014,Almeida,15
345,2014,Almeirim,30
346,2014,Almodôvar,9
347,2014,Alpiarça,18
348,2014,Alter do Chão,5
349,2014,Alvaiázere,15
350,2014,Alvito,3
351,2014,Amadora,29
352,2014,Amarante,111
353,2014,Amares,22
354,2014,Anadia,24
355,2014,Ansião,12
356,2014,Arcos De Valdevez,29
357,2014,Arcos de Valdevez,52
358,2014,Arganil,24
359,2014,Armamar,11
360,2014,Arouca,41
361,2014,Arraiolos,13
362,2014,Arronches,10
363,2014,Arruda dos Vinhos,27
364,2014,Aveiro,40
365,2014,Avis,9
366,2014,Azambuja,47
367,2014,Baião,44
368,2014,Barcelos,58
369,2014,Barrancos,3
370,2014,Barreiro,23
371,2014,Batalha,4
372,2014,Beja,68
373,2014,Belmonte,11
374,2014,Benavente,34
375,2014,Bombarral,29
376,2014,Borba,8
377,2014,Boticas,38
378,2014,Braga,36
379,2014,Bragança,56
380,2014,Cabeceiras De Basto,30
381,2014,Cabeceiras de Basto,16
382,2014,Cadaval,24
383,2014,Caldas Da Rainha,16
384,2014,Caldas da Rainha,33
385,2014,Caminha,29
386,2014,Campo Maior,27
387,2014,Cantanhede,32
388,2014,Carrazeda De Ansiães,15
389,2014,Carrazeda de Ansiães,13
390,2014,Carregal Do Sal,1
391,2014,Carregal do Sal,23
392,2014,Cartaxo,33
393,2014,Cascais,63
394,2014,Castanheira De Pêra,4
395,2014,Castanheira de Pêra,6
396,2014,Castelo Branco,63
397,2014,Castelo De Paiva,5
398,2014,Castelo De Vide,1
399,2014,Castelo de Paiva,16
400,2014,Castelo de Vide,2
401,2014,Castro Daire,35
402,2014,Castro Marim,15
403,2014,Castro Verde,10
404,2014,Celorico Da Beira,3
405,2014,Celorico De Basto,23
406,2014,Celorico da Beira,13
407,2014,Celorico de Basto,32
408,2014,Chamusca,15
409,2014,Chaves,58
410,2014,Cinfães,73
411,2014,Coimbra,74
412,2014,Condeixa-a-Nova,13
413,2014,Constância,9
414,2014,Coruche,34
415,2014,Covilhã,53
416,2014,Crato,5
417,2014,Cuba,7
418,2014,Elvas,57
419,2014,Entroncamento,6
420,2014,Espinho,19
421,2014,Esposende,12
422,2014,Estarreja,24
423,2014,Estremoz,25
424,2014,Fafe,49
425,2014,Faro,32
426,2014,Felgueiras,96
427,2014,Ferreira do Alentejo,12
428,2014,Ferreira do Zêzere,6
429,2014,Figueira da Foz,31
430,2014,Figueira de Castelo Rodrigo,54
431,2014,Figueiró dos Vinhos,13
432,2014,Fornos de Algodres,12
433,2014,Freixo De Espada À Cinta,6
434,2014,Freixo de Espada à Cinta,35
435,2014,Fronteira,4
436,2014,Fundão,27
437,2014,Gavião,12
438,2014,Golegã,4
439,2014,Gondomar,164
440,2014,Gouveia,38
441,2014,Grândola,24
442,2014,Guarda,35
443,2014,Guimarães,117
444,2014,Góis,12
445,2014,Idanha-a-Nova,25
446,2014,Idanha-a-nova,11
447,2014,Lagoa,16
448,2014,Lagos,20
449,2014,Lamego,37
450,2014,Leiria,46
451,2014,Lisboa,135
452,2014,Loulé,63
453,2014,Loures,75
454,2014,Lourinhã,37
455,2014,Lousada,80
456,2014,Lousã,10
457,2014,Macedo De Cavaleiros,12
458,2014,Macedo de Cavaleiros,26
459,2014,Mafra,29
460,2014,Maia,50
461,2014,Mangualde,37
462,2014,Manteigas,1
463,2014,Marco De Canaveses,37
464,2014,Marco de Canaveses,59
465,2014,Marinha Grande,17
466,2014,Marvão,10
467,2014,Matosinhos,35
468,2014,Mação,12
469,2014,Mealhada,21
470,2014,Melgaço,4
471,2014,Mesão Frio,5
472,2014,Mesão frio,1
473,2014,Mira,11
474,2014,Miranda Do Corvo,2
475,2014,Miranda do Corvo,11
476,2014,Miranda do Douro,10
477,2014,Mirandela,54
478,2014,Mogadouro,23
479,2014,Moimenta Da Beira,4
480,2014,Moimenta da Beira,17
481,2014,Moita,60
482,2014,Monchique,18
483,2014,Mondim De Basto,4
484,2014,Mondim de Basto,9
485,2014,Monforte,9
486,2014,Montalegre,92
487,2014,Montemor-o-Novo,13
488,2014,Montemor-o-Velho,13
489,2014,Montemor-o-novo,1
490,2014,Montemor-o-velho,1
491,2014,Montijo,78
492,2014,Monção,28
493,2014,Mora,9
494,2014,Mortágua,7
495,2014,Moura,58
496,2014,Mourão,6
497,2014,Murtosa,9
498,2014,Murça,15
499,2014,Mértola,17
500,2014,Mêda,39
501,2014,Nazaré,7
502,2014,Nelas,29
503,2014,Nisa,17
504,2014,ODIVELAS,17
505,2014,Odemira,39
506,2014,Odivelas,47
507,2014,Oeiras,47
508,2014,Oleiros,9
509,2014,Olhão,22
510,2014,Oliveira De Azeméis,17
511,2014,Oliveira De Frades,7
512,2014,Oliveira Do Hospital,31
513,2014,Oliveira de Azeméis,49
514,2014,Oliveira de Frades,11
515,2014,Oliveira do Bairro,14
516,2014,Oliveira do Hospital,39
517,2014,Ourique,19
518,2014,Ourém,45
519,2014,Ovar,26
520,2014,Palmela,73
521,2014,Pampilhosa da Serra,7
522,2014,Paredes,160
523,2014,Paredes De Coura,6
524,2014,Paredes de Coura,10
525,2014,Paços De Ferreira,2
526,2014,Paços de Ferreira,44
527,2014,Pedrógão Grande,21
528,2014,Penacova,15
529,2014,Penafiel,186
530,2014,Penalva do Castelo,4
531,2014,Penamacor,10
532,2014,Penedono,14
533,2014,Penela,9
534,2014,Peniche,46
535,2014,Peso Da Régua,2
536,2014,Peso da Régua,3
537,2014,Pinhel,37
538,2014,Pombal,53
539,2014,Ponte Da Barca,25
540,2014,Ponte De Lima,32
541,2014,Ponte De Sor,2
542,2014,Ponte da Barca,11
543,2014,Ponte de Lima,48
544,2014,Ponte de Sor,11
545,2014,Portalegre,20
546,2014,Portel,8
547,2014,Portimão,16
548,2014,Porto De Mós,4
549,2014,Porto de Mós,16
550,2014,Proença-a-Nova,7
551,2014,Proença-a-nova,1
552,2014,Póvoa De Lanhoso,2
553,2014,Póvoa De Varzim,4
554,2014,Póvoa de Lanhoso,64
555,2014,Póvoa de Varzim,22
556,2014,Redondo,6
557,2014,Reguengos de Monsaraz,16
558,2014,Resende,23
559,2014,Ribeira De Pena,23
560,2014,Ribeira de Pena,16
561,2014,Rio Maior,20
562,2014,Sabrosa,17
563,2014,Sabugal,34
564,2014,Salvaterra De Magos,3
565,2014,Salvaterra de Magos,34
566,2014,Santa Comba Dão,10
567,2014,Santa Maria Da Feira,25
568,2014,Santa Maria da Feira,59
569,2014,Santa Marta De Penaguião,3
570,2014,Santa Marta de Penaguião,6
571,2014,Santarém,103
572,2014,Santiago do Cacém,28
573,2014,Santo Tirso,80
574,2014,Sardoal,5
575,2014,Seia,52
576,2014,Seixal,57
577,2014,Sernancelhe,23
578,2014,Serpa,29
579,2014,Sertã,42
580,2014,Sesimbra,26
581,2014,Setúbal,45
582,2014,Sever do Vouga,12
583,2014,Silves,46
584,2014,Sines,11
585,2014,Sintra,165
586,2014,Sobral De Monte Agraço,4
587,2014,Sobral de Monte Agraço,12
588,2014,Soure,18
589,2014,Sousel,7
590,2014,Sátão,13
591,2014,São Brás de Alportel,5
592,2014,São João Da Pesqueira,2
593,2014,São João da Madeira,35
594,2014,São João da Pesqueira,30
